protein_id,group
9606.ENSP00000449960,Receptor
9606.ENSP00000283225,Receptor
9606.ENSP00000485156,Receptor
9606.ENSP00000329471,Receptor
9606.ENSP00000352447,Receptor
9606.ENSP00000279783,Receptor
9606.ENSP00000370473,Receptor
9606.ENSP00000334329,Receptor
9606.ENSP00000402060,Receptor
9606.ENSP00000484618,Receptor
9606.ENSP00000352626,Receptor
9606.ENSP00000326247,Receptor
9606.ENSP00000336729,Receptor
9606.ENSP00000307156,Receptor
9606.ENSP00000310658,Receptor
9606.ENSP00000478699,Receptor
9606.ENSP00000493034,Receptor
9606.ENSP00000386862,Receptor
9606.ENSP00000307822,Receptor
9606.ENSP00000386741,Receptor
9606.ENSP00000308764,Receptor
9606.ENSP00000259357,Receptor
9606.ENSP00000317482,Receptor
9606.ENSP00000498702,Receptor
9606.ENSP00000384708,Receptor
9606.ENSP00000262259,Receptor
9606.ENSP00000381859,Receptor
9606.ENSP00000380283,Receptor
9606.ENSP00000374309,Receptor
9606.ENSP00000411831,Receptor
9606.ENSP00000383558,Receptor
9606.ENSP00000493016,Receptor
9606.ENSP00000225831,Receptor
9606.ENSP00000497734,Receptor
9606.ENSP00000432660,Receptor
